feature,group,type,intervenable,null_pct,n_unique,IV,IV_band,IV_val,PSI,uni_AUC,note
prior_loans_amount_total,platform_engagement,numeric,False,0.0,17469,0.0223,weak,0.0248,0.008,0.5231,monotone
multi_lender_inquiry_count_30d,application_context,numeric,True,0.0,6,0.0101,useless,0.0327,0.0,0.5258,monotone
has_linked_bank_feed,bank_feed,binary,False,0.0,2,0.0061,useless,0.0,0.0,,
ENG:prior_default_rate,engineered,numeric,-,66.2,6,0.0059,useless,0.0088,0.004,0.5027,
prior_loans_count,platform_engagement,numeric,False,0.0,6,0.0037,useless,0.0088,0.004,0.5151,monotone
application_channel,application_context,nominal,True,0.0,3,0.0018,useless,0.0012,0.0,,
prior_loans_default_count,platform_engagement,numeric,False,0.0,3,0.0007,useless,,,0.5026,n/a
intended_use_of_funds,self_reported,nominal,False,0.0,4,0.0006,useless,0.0152,0.001,,
geography_region,business_identity,nominal,False,0.0,4,0.0004,useless,0.0103,0.0,,
repeat_application_count,application_context,numeric,False,0.0,4,0.0001,useless,0.0005,0.005,0.5023,monotone
